timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698751165278,1208,https://www.isa.org/about-isa,200,OK,Thread Group 1-8,text,true,,35705,501,9,9,https://www.isa.org/about-isa,972,0,729
1698751166281,265,https://www.isa.org/about-isa,200,OK,Thread Group 1-1,text,true,,35705,501,9,9,https://www.isa.org/about-isa,239,0,0
1698751166283,1272,https://www.isa.org/about-isa,200,OK,Thread Group 1-9,text,true,,35705,501,10,10,https://www.isa.org/about-isa,1026,0,759
1698751167269,1197,https://www.isa.org/about-isa,200,OK,Thread Group 1-10,text,true,,35705,501,11,11,https://www.isa.org/about-isa,967,0,725
1698751169017,263,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-3,text,true,,35562,692,12,12,https://www.isa.org/about-isa/what-is-automation,251,0,0
1698751160275,1510,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,71267,1193,12,12,null,1259,7497,741
1698751169134,262,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-7,text,true,,35562,692,12,12,https://www.isa.org/about-isa/what-is-automation,251,0,0
1698751164276,1514,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,71267,1193,12,12,null,1255,3607,754
1698751168269,1183,https://www.isa.org/about-isa,200,OK,Thread Group 1-11,text,true,,35705,501,12,12,https://www.isa.org/about-isa,955,0,712
1698751169285,260,https://www.isa.org/about-isa,200,OK,Thread Group 1-3,text,true,,35705,501,12,12,https://www.isa.org/about-isa,246,0,0
1698751169397,271,https://www.isa.org/about-isa,200,OK,Thread Group 1-7,text,true,,35705,501,12,12,https://www.isa.org/about-isa,262,0,0
1698751169697,261,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-4,text,true,,35562,692,12,12,https://www.isa.org/about-isa/what-is-automation,249,0,0
1698751161275,1505,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,71267,1193,12,12,null,1256,7180,759
1698751169961,283,https://www.isa.org/about-isa,200,OK,Thread Group 1-4,text,true,,35705,501,12,12,https://www.isa.org/about-isa,243,0,0
1698751169271,1206,https://www.isa.org/about-isa,200,OK,Thread Group 1-12,text,true,,35705,501,13,13,https://www.isa.org/about-isa,973,0,727
1698751170256,255,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-1,text,true,,35562,692,13,13,https://www.isa.org/about-isa/what-is-automation,251,0,0
1698751166280,520,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,71267,1193,13,13,null,490,3713,0
1698751170330,271,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-2,text,true,,35562,692,12,12,https://www.isa.org/about-isa/what-is-automation,253,0,0
1698751164937,548,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,71267,1193,12,12,null,504,5118,0
1698751170771,324,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-6,text,true,,35562,692,11,11,https://www.isa.org/about-isa/what-is-automation,304,0,0
1698751163275,1655,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,71267,1193,11,11,null,1404,6167,848
1698751171099,265,https://www.isa.org/about-isa,200,OK,Thread Group 1-6,text,true,,35705,501,12,12,https://www.isa.org/about-isa,250,0,0
1698751170270,1312,https://www.isa.org/about-isa,200,OK,Thread Group 1-13,text,true,,35705,501,12,12,https://www.isa.org/about-isa,1080,0,825
1698751171544,268,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-9,text,true,,35562,692,12,12,https://www.isa.org/about-isa/what-is-automation,257,0,0
1698751166276,1540,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,71267,1193,12,12,null,1283,3997,759
1698751171815,277,https://www.isa.org/about-isa,200,OK,Thread Group 1-9,text,true,,35705,501,12,12,https://www.isa.org/about-isa,265,0,0
1698751171926,264,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-5,text,true,,35562,692,12,12,https://www.isa.org/about-isa/what-is-automation,252,0,0
1698751162274,1598,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,71267,1193,12,12,null,1250,8320,743
1698751172193,260,https://www.isa.org/about-isa,200,OK,Thread Group 1-5,text,true,,35705,501,13,13,https://www.isa.org/about-isa,253,0,0
1698751171270,1207,https://www.isa.org/about-isa,200,OK,Thread Group 1-14,text,true,,35705,501,13,13,https://www.isa.org/about-isa,972,0,733
1698751172390,245,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-11,text,true,,35562,692,13,13,https://www.isa.org/about-isa/what-is-automation,240,0,0
1698751168267,1428,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-11,,true,,71267,1193,13,13,null,1195,2941,712
1698751172638,257,https://www.isa.org/about-isa,200,OK,Thread Group 1-11,text,true,,35705,501,13,13,https://www.isa.org/about-isa,240,0,0
1698751172862,240,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-3,text,true,,35562,692,13,13,https://www.isa.org/about-isa/what-is-automation,237,0,0
